"DocCat","DocSoort","Pad","Filenaam","Referentie","Datum"
"Hardware","Factuur","Hardware\1996\FAK-MS Sidewinder 3D Pro+Fury(27-07-1996).pdf","FAK-MS Sidewinder 3D Pro+Fury(27-07-1996)","Escom - Sidewinder Pro + Fury","1996-07-27"
"LG73","Factuur","LG73\1998\FAK-NVBVermeulen(Gipsplaat)(RiaDijkstra)(20-08-1998).pdf","FAK-NVBVermeulen(Gipsplaat)(RiaDijkstra)(20-08-1998)","NVB Vermeulen (Boodschap Ria Dijkstra)","1998-08-20"
"LG73","Factuur","LG73\1999\FAK-NVBVermeulen(KnipexGereedschap)(Oldekerk)(21-05-1999).pdf","FAK-NVBVermeulen(KnipexGereedschap)(Oldekerk)(21-05-1999)","NVB Vermeulen - Gereedschap Oldekerk","1999-05-21"
"LG73","Factuur","LG73\1997\FAK-NVBVermeulen(Steenwol)(OegeVanHijum)(24-06-1997).pdf","FAK-NVBVermeulen(Steenwol)(OegeVanHijum)(24-06-1997)","NVB Vermeulen - Steenwol (Oege van Hijum)","1997-07-01"
"Hardware","Factuur","Hardware\1991\FAK-Timtronix(Geheugen+Kabels)(25-11-1991).pdf","FAK-Timtronix(Geheugen+Kabels)(25-11-1991)","Timtronix - Geheugen + kabels","1991-11-25"
"Hardware","Factuur","Hardware\1993\FAK-Timtronix(PC-onderdelen)(3-7-1993).pdf","FAK-Timtronix(PC-onderdelen)(3-7-1993)","Timtronix - PC Onderdelen (Geheugen + HD)","1993-07-03"
"Hardware","Factuur","Hardware\1995\FAK-Timtronix(PC-Onderdelen)(6-3-1995).pdf","FAK-Timtronix(PC-Onderdelen)(6-3-1995)","Timtronix - Geheugen - Floppy drive","1995-02-23"
"LG73","Factuur","LG73\1998\FAK-Ubbens(Plinten-Schroefbits)(08-10-1998).pdf","FAK-Ubbens(Plinten-Schroefbits)(08-10-1998)","Ubbens - Plinten - Schroefbits","1998-10-15"
"LG73","Factuur","LG73\1998\FAK-Ubbens(Pluggen-Rollers)(10-11-1998).pdf","FAK-Ubbens(Pluggen-Rollers)(10-11-1998)","Ubbens - Pluggen en Rollers","1998-11-10"
"Vakantie","Factuur","Vakantie\1991\FAK-Vlieland(Gondel-1)(11-11-1991).pdf","FAK-Vlieland(Gondel-1)(11-11-1991)","Vlieland - Gondel 1","1991-10-31"
"Hypotheek","Overzicht","Hypotheek\2002\FBTO-Krediet(2002).pdf","FBTO-Krediet(2002)","FBTO - Doorlopen krediet","2002-12-13"
"Verzekering","Overzicht","Verzekering\2016\FIN-30500215-(jaaropgave2015).pdf","FIN-30500215-(jaaropgave2015)","30500215 - Beleggingsverzekering - Jaaropgave 2015","2016-05-25"
"Sparen","Overzicht","Sparen\2017\FIN-ASR(D5150731)(Waarde(1-1-2016)(02-2017).pdf","FIN-ASR(D5150731)(Waarde(1-1-2016)(02-2017)","5150731 - ASR - Jaaropgave per 1-1-2016","2017-02-01"
"LG73","Factuur","LG73\2015\FIN-BegrafenisJohanBastiaans(12-05-2015).pdf","FIN-BegrafenisJohanBastiaans(12-05-2015)","Walta - Begrafenis Johan Bastiaans","2015-05-12"
"Belastingen","Brief","Belastingen\2015\FIN-Bel-2015(WHJ(Nieuwrekeningnummer)(9-6-2015).pdf","FIN-Bel-2015(WHJ(Nieuwrekeningnummer)(9-6-2015)","Nieuw rekeningnummer Willy","2015-06-09"
"Belastingen","Overzicht","Belastingen\2016\FIN-BelastingdienstTeruggave2015(30-5-2016).pdf","FIN-BelastingdienstTeruggave2015(30-5-2016)","Willy - Definitieve aanslag 2015","2016-05-28"
"Belastingen","Overzicht","Belastingen\2015\FIN-Belasting-Teruggave2014DEF.pdf","FIN-Belasting-Teruggave2014DEF","Willy - Defintieve aanslag 2014","2015-05-12"
"Verzekering","Overzicht","Verzekering\2015\FIN-BeleggingsVerzekering(30250983)Jaaropgave2014.pdf","FIN-BeleggingsVerzekering(30250983)Jaaropgave2014","30250983 - Jaaroverzicht per 31-12-2014","2015-04-08"
"Verzekering","Overzicht","Verzekering\2015\FIN-BeleggingsVerzekering(30300215)JaarOpgave(25-4-2015).pdf","FIN-BeleggingsVerzekering(30300215)JaarOpgave(25-4-2015)","30500215 - Jaaroverzicht per 31-12-2014","2015-04-25"
"Verzekering","Overzicht","Verzekering\2015\FIN-BeleggingsVerzekering(30300215)JaarOpgave2014(25-4-2015).pdf","FIN-BeleggingsVerzekering(30300215)JaarOpgave2014(25-4-2015)","30500215 - Jaaropgave per 31-12-2014","2015-04-25"
"Belastingen","Overzicht","Belastingen\2015\FIN-BEL-Eindafrekening2014(GdH-WHJ)(06-2015).pdf","FIN-BEL-Eindafrekening2014(GdH-WHJ)(06-2015)","Geert - Definitieve aanslag 2014","2015-05-12"
"Hypotheek","Brief","Hypotheek\2017\FIN-Freo-EindeDoorlopenKrediet(21-2-17).pdf","FIN-Freo-EindeDoorlopenKrediet(21-2-17)","Freo - Afmelding doorlopend krediet","2017-02-21"
"Verzekering","Brief","Verzekering\2015\FIN-HYP-FBTO(22-5-2015)DubbelGeincasseerd.pdf","FIN-HYP-FBTO(22-5-2015)DubbelGeincasseerd","FBTO - Dubbel geincasseerd","2015-05-22"
"Verzekering","Brief","Verzekering\2016\FIN-Levensverzerkering(L30500215)(Uitbetaling)(3-12-2016).pdf","FIN-Levensverzerkering(L30500215)(Uitbetaling)(3-12-2016)","30500215 - Verzoek tot uitbetaling","2016-11-24"
"Verzekering","Overzicht","Verzekering\2017\FIN-NN-LevVerz(30500215)(Waarde2016)(3-2-2017).pdf","FIN-NN-LevVerz(30500215)(Waarde2016)(3-2-2017)","30500215 - Nationale Nederlanden - Waarde per 1-2016","2017-02-03"
"Verzekering","Brief","Verzekering\2015\FIN-VerzekeringingenUnive(1Pakket)(18-4-2015).pdf","FIN-VerzekeringingenUnive(1Pakket)(18-4-2015)","Unive - samenvoegen verzekeringen","2015-04-18"
"LG73","Factuur","LG73\2016\GARKettingzaag(40cm)(18-8-2016).pdf","GARKettingzaag(40cm)(18-8-2016)","Praxis - Kettingzaag","2016-08-20"
"Geert","Brief","Geert\2008\GdH(GITPL)Assesment(03-2008).pdf","GdH(GITPL)Assesment(03-2008)","GITP - Assesment - Definitieve rapportage","2008-04-03"
"Geert","Bevestiging","Geert\2009\GdH(Krauthammer)(Certificaat)(20-maart-2009).pdf","GdH(Krauthammer)(Certificaat)(20-maart-2009)","Krauthammer - Certificaat Management, voorbeeld en impact.","2009-03-20"
"Geert","Brief","Geert\2008\GdH(Krauthammer)(voorbereidingEersteTrainingsdag)(10-8-2008).pdf","GdH(Krauthammer)(voorbereidingEersteTrainingsdag)(10-8-2008)","Krauthammer - Voorbereiding voor training.","2008-10-10"
"Geert","Nostalgie","Geert\1985\GdHDagboek(07-1985(2).pdf","GdHDagboek(07-1985(2)","Dagboek - Deel 2","1985-07-15"
"Geert","Nostalgie","Geert\1985\GdHDagboek(07-1985)(1).pdf","GdHDagboek(07-1985)(1)","Dagboek - Deel 1","1985-07-01"
"Geert","Factuur","Geert\2017\GdH-FAK-(KogaMiyata)(RevisieDraaiendeDelen(08-04-17).pdf","GdH-FAK-(KogaMiyata)(RevisieDraaiendeDelen(08-04-17)","Meindert Fietsspecialist - Onderhoud Koga Miyata","2017-04-08"
"Geert","Gebruiksaanwijzing","Geert\2017\GdH-Instructie-Pilot-Vulpen)(04-2017).pdf","GdH-Instructie-Pilot-Vulpen)(04-2017)","Pilot vulpen","2017-04-01"
"Gezondheid","Overzicht","Gezondheid\2017\GDH-LifeLines(Uitslag2017)(10-02-2017).pdf","GDH-LifeLines(Uitslag2017)(10-02-2017)","LifeLines - Uitslag onderzoek 01-2017","2017-02-10"
"Gezondheid","Factuur","Gezondheid\2015\GEZ-Aarts(april-mei)2015.pdf","GEZ-Aarts(april-mei)2015","Aarts Elektro acupunctuur","2015-04-02"
"Hypotheek","Overzicht","Hypotheek\2017\HYP-CB-JaarOpgave2016(CB000128080)(2-2017).pdf","HYP-CB-JaarOpgave2016(CB000128080)(2-2017)","131493209-00 - Centraal Beheer Jaaroverzicht 2016","2017-02-01"
"Hypotheek","Overzicht","Hypotheek\2017\HYP-CB-JaarOpgave2016(CB000129030)(2-2017).pdf","HYP-CB-JaarOpgave2016(CB000129030)(2-2017)","131495000-00 - Centraal beheer 20K Jaaroverzicht 2016","2017-02-01"
"Hypotheek","Overzicht","Hypotheek\2017\HYP-FBTO-SpaarHyp(2016)(776262001)9776262002)(10-2-2017).pdf","HYP-FBTO-SpaarHyp(2016)(776262001)9776262002)(10-2-2017)","776262001 - FBTO - Overzicht spaarhyoptheek 2016 : 70K","2017-02-10"
"Hypotheek","Overzicht","Hypotheek\2017\HYP-WoonFonds(2004729)2016Jaaroverzicht.pdf","HYP-WoonFonds(2004729)2016Jaaroverzicht","2004729 - Woonfonds - Jaaroverzicht 2016 - 70K","2017-02-01"
"LG73","Bevestiging","LG73\2015\ItParadyske-OrderBevestiging(LG73)GdeHaan(21-4-2015).pdf","ItParadyske-OrderBevestiging(LG73)GdeHaan(21-4-2015)","It Paradyske - Hoofdschuur","2015-04-21"
"LG73","Factuur","LG73\1997\LG73-FAK(DruGashaard)(deKleine)(15-9-1997).pdf","LG73-FAK(DruGashaard)(deKleine)(15-9-1997)","de Kleine - Dru Gashaard","1997-09-15"
"LG73","Factuur","LG73\1999\LG73-FAK(GashaardenHerstel)(01-1999).pdf","LG73-FAK(GashaardenHerstel)(01-1999)","Schoonmaken en herstellen Gashaarden","1999-01-01"
"LG73","Factuur","LG73\1997\LG73-FAK(Otak)(GeleBanken)(20-02-1997).pdf","LG73-FAK(Otak)(GeleBanken)(20-02-1997)","Otak - 3 zits gele bank","1997-02-20"
"LG73","Factuur","LG73\1994\LG73-FAK-(VergrotenWoonkamer)(20-11-1994).pdf","LG73-FAK-(VergrotenWoonkamer)(20-11-1994)","Jouke van Wieren - Vergroten woonkamer","1994-11-20"
"LG73","Overzicht","LG73\1996\LG73-FAK-JVW-(Kozijnvoor)(15-06-1996).pdf","LG73-FAK-JVW-(Kozijnvoor)(15-06-1996)","Jouke van Wieren - Offerte vernieuwen kozijn voor","1996-06-15"
"LG73","Factuur","LG73\1996\LG73-FAK-JVW-Isolatieglas(15-06-1996).pdf","LG73-FAK-JVW-Isolatieglas(15-06-1996)","Jouke van Wieren - Plaatsen isolatieglas","1996-06-15"
"LG73","Factuur","LG73\1996\LG73-FAK-NVB Vermeulen(Steenwol)(OvH)(21-05-1996).pdf","LG73-FAK-NVB Vermeulen(Steenwol)(OvH)(21-05-1996)","NVB Vermeulen - Steenwol Oege van Hijm","1996-05-21"
"LG73","Gebruiksaanwijzing","LG73\2015\LG73-ToiletBril(Tiger)05-2015.pdf","LG73-ToiletBril(Tiger)05-2015","Tiger Toiletbril","2015-05-01"
"Elektronica","Schema","Elektronica\2008\MC-PinLayoutATMega.pdf","MC-PinLayoutATMega","ATMega88  - Pinlayout","2008-01-01"
"Motor","Overzicht","Motor\2015\MJFT76(KentekenBewijs)(VoorAankoop)(01-10-2015).pdf","MJFT76(KentekenBewijs)(VoorAankoop)(01-10-2015)","MJ-FT-76 - Kentekenbewijs voor aankoop","2015-10-01"
"Motor","Bevestiging","Motor\2012\MJFT76(ombouwVerklaring25KW).pdf","MJFT76(ombouwVerklaring25KW)","MJ-FT-76 - Ombouwverklaring 25KW","2012-11-08"
"Nuts","Factuur","Nuts\1991\NTS-FrigemEindAfrekeningDirkBout(25-3-1991).pdf","NTS-FrigemEindAfrekeningDirkBout(25-3-1991)","Frigem - Eindafrekeing Dirk Boutstraat 33C","1991-03-25"
"Sparen","Bevestiging","Sparen\2015\Robeco-(automatische-Overschrijving)(Signed)(9-6-2015).pdf","Robeco-(automatische-Overschrijving)(Signed)(9-6-2015)","Robeco - doorlopende machtiging","2015-06-08"
"Vakantie","Bevestiging","Vakantie\1995\VAK-Schienvat1995(7-7-1995).pdf","VAK-Schienvat1995(7-7-1995)","Huurovereenkomst ""het Schienvat","1995-07-07"
"Verzekering","Bevestiging","Verzekering\2015\VerzPolis(MJFT76).pdf","VerzPolis(MJFT76)","MJ-FT-76 - Polis Unive","2015-09-28"
"Verzekering","Factuur","Verzekering\2015\VERZ-RechtsBijstand(Verlenging2015).pdf","VERZ-RechtsBijstand(Verlenging2015)","FBTO - Rechtsbijstandverzekering","2015-04-17"
"Verzekering","Bevestiging","Verzekering\2015\VERZ-Unive(AlleVerzekeringen2015)(3-10-2015).pdf","VERZ-Unive(AlleVerzekeringen2015)(3-10-2015)","Unive - Overzicht verzekeringen na MJ-FT-76","2015-09-28"
"Motor","Bevestiging","Motor\2015\Binder1.pdf","Binder1","MJ-FT-76 - Kentekenbewijs","2015-09-28"
"Motor","Bevestiging","Motor\2015\RDW-MJ-FT-76(Kentekenbewijs)(28-9-2015).pdf","RDW-MJ-FT-76(Kentekenbewijs)(28-9-2015)","Kentekenbewijs - MJ-FT-76","2015-09-28"
"Software","Bevestiging","Software\2012\Windows8-ProductCode.pdf","Windows8-ProductCode","Windows8 - Productcode via upgrade-assistent","2012-10-27"
"Elektronica","MindMap","Elektronica\2008\MM-AVRDragon(Aansluiten)(20-4-2008).pdf","MM-AVRDragon(Aansluiten)(20-4-2008)","AVR-Dragon met ATMEGAA88","2008-04-20"
"Elektronica","MindMap","Elektronica\2008\MM-AVRGeprogrammeerd!(3-3-2008).pdf","MM-AVRGeprogrammeerd!(3-3-2008)","ATMega - Ervaringen met programmeren","2008-03-03"
"Software","MindMap","Software\2008\MM-SqlServerBoek(forBeginners)2008.pdf","MM-SqlServerBoek(forBeginners)2008","SQLServer - Planning & Installation","2008-01-01"
"Motor","Bevestiging","Motor\2015\Motor-GroeneKaart2015.pdf","Motor-GroeneKaart2015","MJ-FT-76 - Groene kaart tot 2-2016","2015-09-26"
"Elektronica","Schema","Elektronica\1980\ELEK-BuizenVersterker(HenkvanderWal)(e4).pdf","ELEK-BuizenVersterker(HenkvanderWal)(e4)","Buizenversterker Henk van der Wal","1980-01-01"
"BMN","Overzicht","BMN\2017\BMN-BreedMT(12-4-17).pdf","BMN-BreedMT(12-4-17)","Aantekeningen Breed MT ","2017-04-12"
"BMN","MindMap","BMN\2017\BMN-DF-Scanstraat(klad)(05-2017).pdf","BMN-DF-Scanstraat(klad)(05-2017)","Dataflow scanstraat","2017-03-01"
"LG73","Factuur","LG73\2016\FAK-CarpetRight(BestellingFactuur)(20-10-2016).pdf","FAK-CarpetRight(BestellingFactuur)(20-10-2016)","Carpetright - Vloerbedekking studeerkamer","2016-10-01"
"Vakantie","Bevestiging","Vakantie\2015\Ferienhäuser und Ferienwohnungen online buchen   Interhome.pdf","Ferienhäuser und Ferienwohnungen online buchen   Interhome","Lenzkrich - Ferienhaus Marwitz","2015-11-06"
"Geert","Gebruiksaanwijzing","Geert\2013\C 326BEE Stereo Integrated Amplifier - Dutch Manual.pdf","C 326BEE Stereo Integrated Amplifier - Dutch Manual","NAD C326BEE","2013-08-12"
"Elektronica","Factuur","Elektronica\2016\FAK-Pycom(Lora)(7-10-2016).pdf","FAK-Pycom(Lora)(7-10-2016)","Pycom - Lora (Kickstarter)","2016-10-07"
"LG73","Factuur","LG73\2015\FAK-LG73(RemehaKetel)Onderhoud(Hoekstra)(27-10-2015).pdf","FAK-LG73(RemehaKetel)Onderhoud(Hoekstra)(27-10-2015)","Hoekstra - Suwald Remeha Calenta28C Onderhoud","2015-11-06"
"LG73","Factuur","LG73\2015\FAK-LG73-Vekto-(Grondkabel)(10-08-2015).pdf","FAK-LG73-Vekto-(Grondkabel)(10-08-2015)","Vekto - Grondkabel voor achterste schuur","2015-08-10"
"LG73","Factuur","LG73\2015\LG73-PartySchuur(Boom)RepicoZaag.pdf","LG73-PartySchuur(Boom)RepicoZaag","Karwei - Bosch - ReciproZaag","2015-05-10"
"LG73","Factuur","LG73\2015\LG73-PartySchuur(RotanStoel).pdf","LG73-PartySchuur(RotanStoel)","Karwei - Rotanstoel voor de Partyschuur","2015-05-02"
"Nuts","Bevestiging","Nuts\2016\Ziggo-VerzendBevestiging(POST-NL)(12-12-2016).pdf","Ziggo-VerzendBevestiging(POST-NL)(12-12-2016)","Ziggo - Verzendbevestiging (Post-NL)","2016-12-12"
"Willy","Brief","Willy\2016\WHJ-CBR-RapportageICD(14-3-2015).pdf","WHJ-CBR-RapportageICD(14-3-2015)","CBR - Rapportage ICD ","2016-03-14"
"Willy","Brief","Willy\2017\WHJ-(BoodschappenENOF(1-5-2017).pdf","WHJ-(BoodschappenENOF(1-5-2017)","Overzicht boodschappen en en/of spaarrekening","2017-05-02"
"Motor","Factuur","Motor\2012\MJFT76(FacturenVorigeEigenaar).pdf","MJFT76(FacturenVorigeEigenaar)","MJ-FT-36 (Facturen vorige eigenaar)","2012-11-14"
"Geert","Nostalgie","Geert\2017\DIV-Sinterklaas2016(3-12-2016).pdf","DIV-Sinterklaas2016(3-12-2016)","Sinterklasgedicht van Willy","2017-12-05"
"Motor","Bevestiging","Motor\2015\Kentekenbewijs-tenaamstellingscode(1-10-2015).pdf","Kentekenbewijs-tenaamstellingscode(1-10-2015)","MJ-FT-76 - Tenaamstellingscode","2015-09-28"
"LG73","Factuur","LG73\2015\LG73-ItParadyske(EindFactuur)(2-6-2015).pdf","LG73-ItParadyske(EindFactuur)(2-6-2015)","It Paradyske - Hoofdschuur - eindafrekening","2015-06-02"
"LG73","Factuur","LG73\2015\LG73-PartySchuur(Container).pdf","LG73-PartySchuur(Container)","van Wieren - Container voor afvoer oude schuur + boomstronk","2015-05-04"
"LG73","Overzicht","LG73\2015\LG73-SchetsSchuurMetEsdoorn(14-6-2015).pdf","LG73-SchetsSchuurMetEsdoorn(14-6-2015)","Schets hoofdschuur met Esdoorn","2015-06-14"
"Gezondheid","Gebruiksaanwijzing","Gezondheid\2016\GEZ-AartsGebMedicatie.pdf","GEZ-AartsGebMedicatie","Aarts - Medicatie Medorrhinum","2016-01-01"
"Sparen","Overzicht","Sparen\2015\FIN-ASR-Jaaroverzicht2014.pdf","FIN-ASR-Jaaroverzicht2014","5150731 - ASR - Overzicht 2014","2015-03-01"
"Elektronica","Schema","Elektronica\1977\ELEK-BuisvoltMeter(DumpGorredijk).pdf","ELEK-BuisvoltMeter(DumpGorredijk)","Buisvoltmeter uit de dump (Reverse Engineeren)","1977-01-01"
"Gezondheid","Folder","Gezondheid\2015\GEZ-Dokterswacht(2015).pdf","GEZ-Dokterswacht(2015)","Dokterwacht informatie en Nummers","2015-05-10"
"Geert","Brief","Geert\1985\GDH-Dagboek(07-1985).pdf","GDH-Dagboek(07-1985)","Dagboekfragment 8- Juli","1985-07-08"
"Willy","Recept","Willy\2015\WHJ-RCPT-Schuimtaart.pdf","WHJ-RCPT-Schuimtaart","Schuimtaartjes met gemarineerde aardbeien","2015-06-14"
"Motor","Gebruiksaanwijzing","Motor\2015\MOT-GEB-MJFT76.pdf","MOT-GEB-MJFT76","MJ-FT-76 Onderhoud bij 16K miles","2015-11-16"
"LG73","Gebruiksaanwijzing","LG73\2015\IMG_20160418_0002.pdf","IMG_20160418_0002","Regenwater automaat voor waterton","2015-11-16"
"Geert","Bevestiging","Geert\2016\GdH- Rijbewijs-2008-2018.pdf","GdH- Rijbewijs-2008-2018","Rijbewijs 2008 - 2018","2016-12-05"
"BMN","MindMap","BMN\2013\BMN- Scan notitieblok(7-10-2013).pdf","BMN- Scan notitieblok(7-10-2013)","Notitieblok scans","2013-10-07"
"Pensioen","Brief","Pensioen\2014\PENS-Nieuweregeling2015.pdf","PENS-Nieuweregeling2015","Nieuwe pensioenregeling 2015","2014-12-01"
"Willy","Factuur","Willy\2014\WHJ-Tandartskosten(10-2014).pdf","WHJ-Tandartskosten(10-2014)","Tandartskosten Willy","2014-10-02"
"BMN","Brief","BMN\2015\CRH-WijzigingOnkostenVergoeding(01-2015).pdf","CRH-WijzigingOnkostenVergoeding(01-2015)","Wijziging onkostenvergoeding ","2015-01-01"
"Verzekering","Overzicht","Verzekering\2014\Fin-Belasting-Jaaropgave2014(WHJ)(Loyalis).pdf","Fin-Belasting-Jaaropgave2014(WHJ)(Loyalis)","WHJ-Loyalis - jaaropgave 2014","2014-12-31"
"Willy","Overzicht","Willy\2014\Fin-Belasting-JaarOpgave2014(WHJ)(NHL).pdf","Fin-Belasting-JaarOpgave2014(WHJ)(NHL)","Jaaroverzicht inkomen NHL 2014","2014-12-31"
"Willy","Overzicht","Willy\2014\WHJ-ABP-Jaaroverzicht2014.pdf","WHJ-ABP-Jaaroverzicht2014","ABP - Jaaroverzicht 2014","2014-12-31"
"Willy","Recept","Willy\2015\Recept-RijstTafelMetVrienden(02-2015).pdf","Recept-RijstTafelMetVrienden(02-2015)","Rijsttafel met vrienden","2015-02-01"
"BMN","Overzicht","BMN\2014\CRH-Auto(7-XJS-70)Schade(11-12-2014).pdf","CRH-Auto(7-XJS-70)Schade(11-12-2014)","7-XJS-70 Schadeformulier","2014-12-11"
"Software","MindMap","Software\2014\Dev-Aant-HeadFirstPython(11-2014)MosleHof.pdf","Dev-Aant-HeadFirstPython(11-2014)MosleHof","Python - Head First Python - Moslehof","2014-11-01"
"Hardware","Schema","Hardware\2015\DEV-IrPad(SchakelingNAS(22-3-2015)).pdf","DEV-IrPad(SchakelingNAS(22-3-2015))","IrPad - NAS Schakeling via Raspberry Pi","2015-03-22"
"Auto","Factuur","Auto\2015\FAK-Auto(90-PV-DJ)Remmen(25-02-2015).pdf","FAK-Auto(90-PV-DJ)Remmen(25-02-2015)","90-PV-DJ -Remblokken vervangen","2015-02-25"
"Hardware","Factuur","Hardware\2014\FAK-Elektronica(WeIO)(13-12-2014).pdf","FAK-Elektronica(WeIO)(13-12-2014)","WEIO ","2014-12-13"
"Willy","Overzicht","Willy\2014\Fin-BEL-JaarOpgave2014(WHJ)(03-2015).pdf","Fin-BEL-JaarOpgave2014(WHJ)(03-2015)","WHJ - Alle jaaropgaves 2014","2014-12-31"
"Verzekering","Brief","Verzekering\2014\Fin-GdH-UitvaartPolis(Indexering(2015)12-2014.pdf","Fin-GdH-UitvaartPolis(Indexering(2015)12-2014","Ardanta - indexering uitvaartpolis","2014-12-01"
"Hypotheek","Overzicht","Hypotheek\2015\FIN-HYP-Hypotheken(CentraalBeheer)Overzicht2014.pdf","FIN-HYP-Hypotheken(CentraalBeheer)Overzicht2014","Cntraal beheer - jaaropgave 2014 20K Hyp","2015-02-01"
"Hypotheek","Overzicht","Hypotheek\2014\FIN-HYP-JaarOverzicht(WF2004729)70K.pdf","FIN-HYP-JaarOverzicht(WF2004729)70K","WF2004729 - Woonfonds - 70K jaaroverzicht 2014","2014-12-01"
"Hypotheek","Overzicht","Hypotheek\2015\FIN-HYP-JaarOverzicht2014(WF2004729)70K.pdf","FIN-HYP-JaarOverzicht2014(WF2004729)70K","WF002004749 Woonfonds 70K Jaaroverzicht2015","2015-02-01"
"Hypotheek","Overzicht","Hypotheek\2015\FIN-HYP-SpaarHypotheken(FBTO)Overzicht2014.pdf","FIN-HYP-SpaarHypotheken(FBTO)Overzicht2014","776262001 - FBTO - Overzicht 70K Spaartegoed","2015-02-03"
"Verzekering","Overzicht","Verzekering\2015\FIN-LevensVerzekering(30500215)Waarde(1-1-2014).pdf","FIN-LevensVerzekering(30500215)Waarde(1-1-2014)","30500215 - NN - Fiscale waarde per 1-1-2014","2015-01-30"
"Verzekering","Overzicht","Verzekering\2015\FIN-LevensVerzekering(ASR(D5150731)(02-2015).pdf","FIN-LevensVerzekering(ASR(D5150731)(02-2015)","5150731 - ASR - Fiscale opgave 2014","2015-02-01"
"Software","Bevestiging","Software\2015\IT-LicentieWindows81(64bit)8710W(02-2015).pdf","IT-LicentieWindows81(64bit)8710W(02-2015)","Windows81-64bit - Licentie","2015-02-01"
"LG73","Bevestiging","LG73\2015\LG73-EnergieLabel(02-2015).pdf","LG73-EnergieLabel(02-2015)","Energielabel - Voorlopig","2015-02-01"
"LG73","Factuur","LG73\2014\LG73-FactuurOnderhoud(remehaCalenta28C(DeelsBetaald)(05-12-2014).pdf","LG73-FactuurOnderhoud(remehaCalenta28C(DeelsBetaald)(05-12-2014)","Remeha Calenta28C Factuur - Deels betaald","2014-12-05"
"LG73","Schema","LG73\2015\LG73-OpmetenSchuur(01-2015).pdf","LG73-OpmetenSchuur(01-2015)","OPmeten oude schuur","2015-01-01"
"LG73","Schema","LG73\2015\LG73-Riool-OntluchtingDef(22-3-2015).pdf","LG73-Riool-OntluchtingDef(22-3-2015)","Riool - schets ontluchting DEF","2015-03-22"
"Belastingen","Factuur","Belastingen\2015\LG73-WaterSchapsBelasting+WOZ((01-2015).pdf","LG73-WaterSchapsBelasting+WOZ((01-2015)","WOZ waardebepaling WOZ","2015-02-28"
"Pensioen","Brief","Pensioen\2014\WRK-PensioenVeranderingPer(1-1-2015).pdf","WRK-PensioenVeranderingPer(1-1-2015)","Pensioenverandering per 1-1-2015","2014-12-01"
"Elektronica","Bevestiging","Elektronica\2015\DS1054Z(23-3-2015).pdf","DS1054Z(23-3-2015)","Rigol DS1054Z (Certificate of Calibration)","2015-03-23"
"BMN","Bevestiging","BMN\2015\CRH-Bonus(Resultaat2014)(03-2015).pdf","CRH-Bonus(Resultaat2014)(03-2015)","Bonus resultaat 2014","2015-03-01"
"Willy","Brief","Willy\2011\WHJ-CP(28-3-2015).pdf","WHJ-CP(28-3-2015)","MCL - Borger van der Burg aan A. Felder","2011-12-23"
"BMN","Overzicht","BMN\2012\CRH-LogistiekMT(8-3-2012)GM.pdf","CRH-LogistiekMT(8-3-2012)GM","Logistiek MT met Andre Jaspers","2012-03-08"
"Elektronica","Factuur","Elektronica\2015\DEV-EOO(Bestelling(22-2-2015)).pdf","DEV-EOO(Bestelling(22-2-2015))","EOO - MCP23008 etc","2015-02-22"
"Sparen","Overzicht","Sparen\2006\FIN(FinMutaties)Beleggingen(01-11-2006).pdf","FIN(FinMutaties)Beleggingen(01-11-2006)","Overzicht Beleggingen","2006-11-01"
"Geert","Nostalgie","Geert\2007\FIN(FinMutaties)Trouwen2006(16-02-2007).pdf","FIN(FinMutaties)Trouwen2006(16-02-2007)","Trouwen 2006 betaling Vlieland","2007-02-16"
"Geert","Overzicht","Geert\2005\FIN(FinMutaties)VasteRekening(08-06-2005).pdf","FIN(FinMutaties)VasteRekening(08-06-2005)","Postbank mutaties vaste rekening","2005-06-08"
"Geert","Overzicht","Geert\2006\FIN(FinMutaties)VasteRekening(11-10-2006).pdf","FIN(FinMutaties)VasteRekening(11-10-2006)","Postbank mutaties vaste rekening","2006-10-11"
"Geert","Overzicht","Geert\1995\FIN(PostbankCard)DubbeleBoeking)TimesWarner(19-09-1995).pdf","FIN(PostbankCard)DubbeleBoeking)TimesWarner(19-09-1995)","Postbankcard dubbele afboeking","1995-10-02"
"Gezondheid","Factuur","Gezondheid\2014\GEZ-Tandarts-KellBrick(06-11-2014).pdf","GEZ-Tandarts-KellBrick(06-11-2014)","Tandarts - Kelbrick Frame kunstgebit","2014-11-06"
"Pensioen","Overzicht","Pensioen\2017\IMG_20170824_0001.pdf","IMG_20170824_0001","CRH - UPO per 1-1-2017","2017-08-01"
"Hardware","Tijdschrift","Hardware\1992\DEV-Elektuur(uC-Special)1992.pdf","DEV-Elektuur(uC-Special)1992","Elektuur - uC-Special","1992-05-01"
"Hardware","Tijdschrift","Hardware\1986\DEV-Elektuur(Computing)-(Deel5).pdf","DEV-Elektuur(Computing)-(Deel5)","Elektuur Computing Deel 5","1986-01-01"
"LG73","Schema","LG73\2015\LG-Schuur-Tekening(Hiemstra)Paradyske(2-4-2015).pdf","LG-Schuur-Tekening(Hiemstra)Paradyske(2-4-2015)","Grote schuur - Schets Hiemstra","2015-02-02"
